"filename", "language", "Python", "Markdown", "MS SQL", "pip requirements", "JSON", "comment", "blank", "total"
"/Users/sunminghao/Desktop/EvoLabeler/backend/README.md", "Markdown", 0, 426, 0, 0, 0, 0, 150, 576
"/Users/sunminghao/Desktop/EvoLabeler/backend/SUPABASE_KEY_FIX.md", "Markdown", 0, 43, 0, 0, 0, 0, 19, 62
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/__init__.py", "Python", 1, 0, 0, 0, 0, 6, 2, 9
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/acquisition_agent.py", "Python", 322, 0, 0, 0, 0, 234, 87, 643
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/analysis_agent.py", "Python", 224, 0, 0, 0, 0, 253, 53, 530
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/base_agent.py", "Python", 24, 0, 0, 0, 0, 45, 12, 81
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/inference_agent.py", "Python", 243, 0, 0, 0, 0, 170, 59, 472
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/prompts.py", "Python", 133, 0, 0, 0, 0, 19, 26, 178
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/state.py", "Python", 17, 0, 0, 0, 0, 20, 13, 50
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/agents/training_agent.py", "Python", 281, 0, 0, 0, 0, 161, 63, 505
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/endpoints/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/endpoints/jobs.py", "Python", 149, 0, 0, 0, 0, 71, 42, 262
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/endpoints/projects.py", "Python", 222, 0, 0, 0, 0, 81, 41, 344
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/schemas/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/schemas/job.py", "Python", 32, 0, 0, 0, 0, 13, 21, 66
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/api/v1/schemas/project.py", "Python", 49, 0, 0, 0, 0, 13, 28, 90
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/core/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/core/config.py", "Python", 64, 0, 0, 0, 0, 19, 19, 102
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/core/logging_config.py", "Python", 71, 0, 0, 0, 0, 41, 29, 141
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/db/DATABASE_DESIGN.md", "Markdown", 0, 450, 0, 0, 0, 0, 121, 571
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/db/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 2, 3
"/Users/sunminghao/Desktop/EvoLabeler/backend/app/db/migrations/002_create_projects_table.sql", "MS SQL", 0, 0, 58, 0, 0, 49, 34, 141
